Tournament;Matchday;Date;Venue;Club;Opponent;Result;Position;Minute;When Scored;Goal Type;Assist;Pareja
LaLiga ;10;11/7/10;Away;FC Barcelona;Getafe CF;01:03:00;CF;23';00:01:00;Left-footed shot;David Villa;Antonela Rocuzzo
Copa del Rey ;4th round;11/10/10;Home;FC Barcelona;Club Atlético de Ceuta;05:01:00;RW;67';05:01:00;Left-footed shot;Thiago;Antonela Rocuzzo
LaLiga ;11;11/13/10;Home;FC Barcelona;Villarreal CF;03:01:00;CF;58';02:01:00;Right-footed shot;Pedro;Antonela Rocuzzo
LaLiga ;11;11/13/10;Home;FC Barcelona;Villarreal CF;03:01:00;CF;83';03:01:00;Left-footed shot;Pedro;Antonela Rocuzzo
LaLiga ;12;11/20/10;Away;FC Barcelona;UD Almería;00:08:00;CF;16';00:01:00;Left-footed shot;David Villa;Antonela Rocuzzo
LaLiga ;12;11/20/10;Away;FC Barcelona;UD Almería;00:08:00;CF;36';00:05:00;Tap-in;Not Applicable;Antonela Rocuzzo
LaLiga ;12;11/20/10;Away;FC Barcelona;UD Almería;00:08:00;CF;67';00:07:00;Tap-in;David Villa;Antonela Rocuzzo
Champions Legue ;Group Stage;11/24/10;Away;FC Barcelona;Panathinaikos Athens;00:03:00;CF;63';00:02:00;Left-footed shot;Adriano;Antonela Rocuzzo
LaLiga ;14;12/4/10;Away;FC Barcelona;CA Osasuna;00:03:00;CF;64';00:02:00;Left-footed shot;David Villa;Antonela Rocuzzo
LaLiga ;14;12/4/10;Away;FC Barcelona;CA Osasuna;00:03:00;CF;82';00:03:00;Penalty;Not Applicable;Antonela Rocuzzo
LaLiga ;15;12/12/10;Home;FC Barcelona;Real Sociedad;05:00:00;CF;46';03:00:00;Left-footed shot;Dani Alves;Antonela Rocuzzo
LaLiga ;15;12/12/10;Home;FC Barcelona;Real Sociedad;05:00:00;CF;86';04:00:00;Left-footed shot;Bojan Krkic;Antonela Rocuzzo
LaLiga ;18;1/8/11;Away;FC Barcelona;Deportivo de La Coruña;00:04:00;CF;51';00:02:00;Direct free kick;Not Applicable;Antonela Rocuzzo
Copa del Rey ;Quarter-Finals;1/12/11;Home;FC Barcelona;Real Betis Balompié;05:00:00;CF;44';01:00:00;Left-footed shot;Andrés Iniesta;Antonela Rocuzzo
Copa del Rey ;Quarter-Finals;1/12/11;Home;FC Barcelona;Real Betis Balompié;05:00:00;CF;63';02:00:00;Left-footed shot;Not Applicable;Antonela Rocuzzo
Copa del Rey ;Quarter-Finals;1/12/11;Home;FC Barcelona;Real Betis Balompié;05:00:00;CF;73';03:00:00;Left-footed shot;Xavi;Antonela Rocuzzo
Copa del Rey ;Quarter-Finals;1/19/11;Away;FC Barcelona;Real Betis Balompié;03:01:00;RW;37';02:01:00;Left-footed shot;Xavi;Antonela Rocuzzo
LaLiga ;20;1/22/11;Home;FC Barcelona;Racing Santander;03:00:00;CF;33';02:00:00;Penalty;Not Applicable;Antonela Rocuzzo
Copa del Rey ;Semi-Finals;1/26/11;Home;FC Barcelona;UD Almería;05:00:00;CF;9';01:00:00;Left-footed shot;Pedro;Antonela Rocuzzo
Copa del Rey ;Semi-Finals;1/26/11;Home;FC Barcelona;UD Almería;05:00:00;CF;15';03:00:00;Left-footed shot;Andrés Iniesta;Antonela Rocuzzo
LaLiga ;21;1/29/11;Away;FC Barcelona;Hércules CF;00:03:00;CF;87';00:02:00;Left-footed shot;Dani Alves;Antonela Rocuzzo
LaLiga ;21;1/29/11;Away;FC Barcelona;Hércules CF;00:03:00;CF;89';00:03:00;Left-footed shot;Dani Alves;Antonela Rocuzzo
LaLiga ;22;2/5/11;Home;FC Barcelona;Atlético de Madrid;03:00:00;CF;16';01:00:00;Left-footed shot;Dani Alves;Antonela Rocuzzo
LaLiga ;22;2/5/11;Home;FC Barcelona;Atlético de Madrid;03:00:00;CF;28';02:00:00;Left-footed shot;Pedro;Antonela Rocuzzo
LaLiga ;22;2/5/11;Home;FC Barcelona;Atlético de Madrid;03:00:00;CF;78';03:00:00;Left-footed shot;David Villa;Antonela Rocuzzo
LaLiga ;24;2/20/11;Home;FC Barcelona;Athletic Bilbao;02:01:00;CF;78';02:01:00;Right-footed shot;Dani Alves;Antonela Rocuzzo
LaLiga ;25;2/26/11;Away;FC Barcelona;RCD Mallorca;00:03:00;CF;38';00:01:00;Header;Seydou Keita;Antonela Rocuzzo
LaLiga ;26;3/2/11;Away;FC Barcelona;Valencia CF;00:01:00;CF;77';00:01:00;Left-footed shot;Adriano;Antonela Rocuzzo
Champions League ;last 16;3/8/11;Home;FC Barcelona;Arsenal FC;03:01:00;CF;49';01:00:00;Left-footed shot;Andrés Iniesta;Antonela Rocuzzo
Champions League ;last 16;3/8/11;Home;FC Barcelona;Arsenal FC;03:01:00;CF;72';03:01:00;Penalty;Not Applicable;Antonela Rocuzzo
LaLiga ;31;4/9/11;Home;FC Barcelona;UD Almería;03:01:00;CF;52';01:01:00;Penalty;Not Applicable;Antonela Rocuzzo
LaLiga ;31;4/9/11;Home;FC Barcelona;UD Almería;03:01:00;CF;90'+1;03:01:00;Left-footed shot;Seydou Keita;Antonela Rocuzzo
Champions League ;Quarter-Finals;4/12/11;Away;FC Barcelona;Shakhtar Donetsk;00:01:00;CF;42';00:01:00;Left-footed shot;Dani Alves;Antonela Rocuzzo
LaLiga ;32;4/16/11;Away;FC Barcelona;Real Madrid;01:01:00;CF;53';00:01:00;Penalty;Not Applicable;Antonela Rocuzzo
LaLiga ;33;4/23/11;Home;FC Barcelona;CA Osasuna;02:00:00;CF;87';02:00:00;Right-footed shot;Dani Alves;Antonela Rocuzzo
Champions League ;Semi-Finals;4/27/11;Away;FC Barcelona;Real Madrid;00:02:00;CF;76';00:01:00;Left-footed shot;Ibrahim Afellay;Antonela Rocuzzo
Champions Legue ;Semi-Finals;4/27/11;Away;FC Barcelona;Real Madrid;00:02:00;CF;87';00:02:00;Solo run;Sergio Busquets;Antonela Rocuzzo
Champions League ;Final;5/28/11;Home;FC Barcelona;Manchester United;03:01:00;CF;54';02:01:00;Left-footed shot;Andrés Iniesta;Antonela Rocuzzo
Supercopa ;final;8/14/11;Away;FC Barcelona;Real Madrid;02:02:00;CF;45';01:02:00;Left-footed shot;Thiago;Antonela Rocuzzo
Supercopa ;final;8/17/11;Home;FC Barcelona;Real Madrid;03:02:00;CF;44';02:01:00;Right-footed shot;Gerard Piqué;Antonela Rocuzzo
Supercopa ;final;8/17/11;Home;FC Barcelona;Real Madrid;03:02:00;CF;88';03:02:00;Left-footed shot;Adriano;Antonela Rocuzzo
UEFA Super Cup ;Final;8/26/11;Home;FC Barcelona;FC Porto;02:00:00;CF;39';01:00:00;Left-footed shot;Not Applicable;Antonela Rocuzzo
LaLiga ;2;8/29/11;Home;FC Barcelona;Villarreal CF;05:00:00;CF;51';04:00:00;Right-footed shot;Andrés Iniesta;Antonela Rocuzzo
LaLiga ;2;8/29/11;Home;FC Barcelona;Villarreal CF;05:00:00;CF;74';05:00:00;Left-footed shot;Thiago;Antonela Rocuzzo
LaLiga ;4;9/17/11;Home;FC Barcelona;CA Osasuna;08:00:00;CF;5';01:00:00;Left-footed shot;Dani Alves;Antonela Rocuzzo
LaLiga ;4;9/17/11;Home;FC Barcelona;CA Osasuna;08:00:00;CF;41';05:00:00;Left-footed shot;Cesc Fàbregas;Antonela Rocuzzo
LaLiga ;4;9/17/11;Home;FC Barcelona;CA Osasuna;08:00:00;CF;79';08:00:00;Left-footed shot;Cesc Fàbregas;Antonela Rocuzzo
LaLiga ;6;9/24/11;Home;FC Barcelona;Atlético de Madrid;05:00:00;CF;26';03:00:00;Left-footed shot;Pedro;Antonela Rocuzzo
LaLiga ;6;9/24/11;Home;FC Barcelona;Atlético de Madrid;05:00:00;CF;78';04:00:00;Left-footed shot;Dani Alves;Antonela Rocuzzo
LaLiga ;6;9/24/11;Home;FC Barcelona;Atlético de Madrid;05:00:00;CF;90'+1;05:00:00;Left-footed shot;David Villa;Antonela Rocuzzo
Champions League ;Group Stage;9/28/11;Away;FC Barcelona;BATE Borisov;00:05:00;CF;38';00:03:00;Header;Not Applicable;Antonela Rocuzzo
Champions League ;Group Stage;9/28/11;Away;FC Barcelona;BATE Borisov;00:05:00;CF;56';00:04:00;Left-footed shot;Dani Alves;Antonela Rocuzzo
LaLiga ;8;10/15/11;Home;FC Barcelona;Racing Santander;03:00:00;CF;11';01:00:00;Right-footed shot;Andrés Iniesta;Antonela Rocuzzo
LaLiga ;8;10/15/11;Home;FC Barcelona;Racing Santander;03:00:00;CF;69';03:00:00;Right-footed shot;Not Applicable;Antonela Rocuzzo
LaLiga ;11;10/29/11;Home;FC Barcelona;RCD Mallorca;05:00:00;CF;13';01:00:00;Penalty;Not Applicable;Antonela Rocuzzo
LaLiga ;11;10/29/11;Home;FC Barcelona;RCD Mallorca;05:00:00;CF;21';02:00:00;Right-footed shot;Adriano;Antonela Rocuzzo
LaLiga ;11;10/29/11;Home;FC Barcelona;RCD Mallorca;05:00:00;CF;30';03:00:00;Left-footed shot;Dani Alves;Antonela Rocuzzo
Champions League ;Group Stage;11/1/11;Away;FC Barcelona;FC Viktoria Plzen;00:04:00;CF;24';00:01:00;Penalty;Not Applicable;Antonela Rocuzzo
Champions League ;Group Stage;11/1/11;Away;FC Barcelona;FC Viktoria Plzen;00:04:00;CF;45'+2;00:02:00;Left-footed shot;Adriano;Antonela Rocuzzo
Champions League ;Group Stage;11/1/11;Away;FC Barcelona;FC Viktoria Plzen;00:04:00;CF;90'+2;00:04:00;Left-footed shot;Gerard Piqué;Antonela Rocuzzo
LaLiga ;12;11/6/11;Away;FC Barcelona;Athletic Bilbao;02:02:00;CF;90';02:02:00;Left-footed shot;Not Applicable;Antonela Rocuzzo
LaLiga ;13;11/19/11;Home;FC Barcelona;Real Zaragoza;04:00:00;CF;43';02:00:00;Right-footed shot;Cesc Fàbregas;Antonela Rocuzzo
Champions League ;Group Stage;11/23/11;Away;FC Barcelona;AC Milan;02:03:00;SS;31';01:02:00;Penalty;Not Applicable;Antonela Rocuzzo
LaLiga ;17;11/29/11;Home;FC Barcelona;Rayo Vallecano;04:00:00;CF;49';04:00:00;Left-footed shot;Dani Alves;Antonela Rocuzzo
LaLiga ;15;12/3/11;Home;FC Barcelona;Levante UD;05:00:00;CF;55';04:00:00;Left-footed shot;Dani Alves;Antonela Rocuzzo
Club World Cup ;Final;12/18/11;Away;FC Barcelona;Santos FC;00:04:00;RW;17';00:01:00;Left-footed shot;Xavi;Antonela Rocuzzo
Club World Cup ;Final;12/18/11;Away;FC Barcelona;Santos FC;00:04:00;RW;82';00:04:00;Left-footed shot;Dani Alves;Antonela Rocuzzo
Copa del Rey ;last 16;1/4/12;Home;FC Barcelona;CA Osasuna;04:00:00;CF;71';03:00:00;Header;Cesc Fàbregas;Antonela Rocuzzo
Copa del Rey ;last 16;1/4/12;Home;FC Barcelona;CA Osasuna;04:00:00;CF;90';04:00:00;Left-footed shot;Xavi;Antonela Rocuzzo
LaLiga ;19;1/15/12;Home;FC Barcelona;Real Betis Balompié;04:02:00;CF;12';02:00:00;Right-footed shot;Alexis Sánchez;Antonela Rocuzzo
LaLiga ;19;1/15/12;Home;FC Barcelona;Real Betis Balompié;04:02:00;CF;86';04:02:00;Penalty;Not Applicable;Antonela Rocuzzo
LaLiga ;1;1/22/12;Away;FC Barcelona;Málaga CF;01:04:00;CF;32';00:01:00;Header;Adriano;Antonela Rocuzzo
LaLiga ;1;1/22/12;Away;FC Barcelona;Málaga CF;01:04:00;CF;51';00:03:00;Left-footed shot;Thiago;Antonela Rocuzzo
LaLiga ;1;1/22/12;Away;FC Barcelona;Málaga CF;01:04:00;CF;77';00:04:00;Left-footed shot;Pedro;Antonela Rocuzzo
LaLiga ;22;2/4/12;Home;FC Barcelona;Real Sociedad;02:01:00;CF;72';02:00:00;Left-footed shot;Dani Alves;Antonela Rocuzzo
Champions League ;last 16;2/14/12;Away;FC Barcelona;Bayer 04 Leverkusen;01:03:00;CF;88';01:03:00;Left-footed shot;Dani Alves;Antonela Rocuzzo
LaLiga ;24;2/19/12;Home;FC Barcelona;Valencia CF;05:01:00;CF;21';01:01:00;Left-footed shot;Not Applicable;Antonela Rocuzzo
LaLiga ;24;2/19/12;Home;FC Barcelona;Valencia CF;05:01:00;CF;27';02:01:00;Tap-in;Not Applicable;Antonela Rocuzzo
LaLiga ;24;2/19/12;Home;FC Barcelona;Valencia CF;05:01:00;CF;75';03:01:00;Left-footed shot;Cristian Tello;Antonela Rocuzzo
LaLiga ;24;2/19/12;Home;FC Barcelona;Valencia CF;05:01:00;CF;84';04:01:00;Left-footed shot;Sergio Busquets;Antonela Rocuzzo
LaLiga ;25;2/26/12;Away;FC Barcelona;Atlético de Madrid;01:02:00;CF;79';01:02:00;Direct free kick;Not Applicable;Antonela Rocuzzo
Champions League ;last 16;3/7/12;Home;FC Barcelona;Bayer 04 Leverkusen;07:01:00;CF;25';01:00:00;Left-footed shot;Xavi;Antonela Rocuzzo
Champions League ;last 16;3/7/12;Home;FC Barcelona;Bayer 04 Leverkusen;07:01:00;CF;42';02:00:00;Left-footed shot;Andrés Iniesta;Antonela Rocuzzo
Champions League ;last 16;3/7/12;Home;FC Barcelona;Bayer 04 Leverkusen;07:01:00;CF;50';03:00:00;Right-footed shot;Cesc Fàbregas;Antonela Rocuzzo
Champions League ;last 16;3/7/12;Home;FC Barcelona;Bayer 04 Leverkusen;07:01:00;CF;58';05:00:00;Left-footed shot;Not Applicable;Antonela Rocuzzo
Champions League ;last 16;3/7/12;Home;FC Barcelona;Bayer 04 Leverkusen;07:01:00;CF;85';07:00:00;Left-footed shot;Seydou Keita;Antonela Rocuzzo
LaLiga ;27;3/11/12;Away;FC Barcelona;Racing Santander;00:02:00;CF;28';00:01:00;Left-footed shot;Cesc Fàbregas;Antonela Rocuzzo
LaLiga ;27;3/11/12;Away;FC Barcelona;Racing Santander;00:02:00;CF;55';00:02:00;Penalty;Not Applicable;Antonela Rocuzzo
LaLiga ;28;3/17/12;Away;FC Barcelona;Sevilla FC;00:02:00;CF;25';00:02:00;Left-footed shot;Andrés Iniesta;Antonela Rocuzzo
LaLiga ;29;3/20/12;Home;FC Barcelona;Granada CF;05:03:00;CF;16';02:00:00;Left-footed shot;Isaac Cuenca;Antonela Rocuzzo
LaLiga ;29;3/20/12;Home;FC Barcelona;Granada CF;05:03:00;CF;66';03:02:00;Left-footed shot;Dani Alves;Antonela Rocuzzo
LaLiga ;29;3/20/12;Home;FC Barcelona;Granada CF;05:03:00;CF;85';05:02:00;Left-footed shot;Dani Alves;Antonela Rocuzzo
LaLiga ;30;3/24/12;Away;FC Barcelona;RCD Mallorca;00:02:00;CF;25';00:01:00;Direct free kick;Not Applicable;Antonela Rocuzzo
LaLiga ;31;3/31/12;Home;FC Barcelona;Athletic Bilbao;02:00:00;CF;57';02:00:00;Penalty;Not Applicable;Antonela Rocuzzo
Champions League ;Quarter-Finals;4/3/12;Home;FC Barcelona;AC Milan;03:01:00;RW;11';01:00:00;Penalty;Not Applicable;Antonela Rocuzzo
Champions League ;Quarter-Finals;4/3/12;Home;FC Barcelona;AC Milan;03:01:00;RW;42';02:01:00;Penalty;Not Applicable;Antonela Rocuzzo
LaLiga ;32;4/7/12;Away;FC Barcelona;Real Zaragoza;01:04:00;CF;39';01:02:00;Left-footed shot;Alexis Sánchez;Antonela Rocuzzo
LaLiga ;32;4/7/12;Away;FC Barcelona;Real Zaragoza;01:04:00;CF;86';01:03:00;Penalty;Not Applicable;Antonela Rocuzzo
LaLiga ;33;4/10/12;Home;FC Barcelona;Getafe CF;04:00:00;CF;44';02:00:00;Left-footed shot;Andrés Iniesta;Antonela Rocuzzo
LaLiga ;34;4/14/12;Away;FC Barcelona;Levante UD;01:02:00;CF;64';01:01:00;Left-footed shot;Alexis Sánchez;Antonela Rocuzzo
LaLiga ;34;4/14/12;Away;FC Barcelona;Levante UD;01:02:00;CF;73';01:02:00;Penalty;Not Applicable;Antonela Rocuzzo
LaLiga ;36;4/29/12;Away;FC Barcelona;Rayo Vallecano;00:07:00;CF;16';00:01:00;Left-footed shot;Pedro;Antonela Rocuzzo
LaLiga ;36;4/29/12;Away;FC Barcelona;Rayo Vallecano;00:07:00;CF;88';00:07:00;Left-footed shot;Pedro;Antonela Rocuzzo
LaLiga ;20;5/2/12;Home;FC Barcelona;Málaga CF;04:01:00;CF;34';02:01:00;Penalty;Not Applicable;Antonela Rocuzzo
LaLiga ;20;5/2/12;Home;FC Barcelona;Málaga CF;04:01:00;CF;60';03:01:00;Penalty;Not Applicable;Antonela Rocuzzo
LaLiga ;20;5/2/12;Home;FC Barcelona;Málaga CF;04:01:00;CF;63';04:01:00;Left-footed shot;Andrés Iniesta;Antonela Rocuzzo
LaLiga ;37;5/5/12;Home;FC Barcelona;RCD Espanyol Barcelona;04:00:00;CF;11';01:00:00;Direct free kick;Not Applicable;Antonela Rocuzzo
LaLiga ;37;5/5/12;Home;FC Barcelona;RCD Espanyol Barcelona;04:00:00;CF;63';02:00:00;Penalty;Not Applicable;Antonela Rocuzzo
LaLiga ;37;5/5/12;Home;FC Barcelona;RCD Espanyol Barcelona;04:00:00;CF;73';03:00:00;Left-footed shot;Adriano;Antonela Rocuzzo
LaLiga ;37;5/5/12;Home;FC Barcelona;RCD Espanyol Barcelona;04:00:00;CF;78';04:00:00;Penalty;Not Applicable;Antonela Rocuzzo
Copa del Rey ;Final;5/25/12;Home;FC Barcelona;Athletic Bilbao;03:00:00;CF;20';02:00:00;Right-footed shot;Andrés Iniesta;Antonela Rocuzzo
LaLiga ;1;8/19/12;Home;FC Barcelona;Real Sociedad;05:01:00;CF;10';02:01:00;Left-footed shot;Pedro;Antonela Rocuzzo
LaLiga ;1;8/19/12;Home;FC Barcelona;Real Sociedad;05:01:00;CF;15';03:01:00;Left-footed shot;Cristian Tello;Antonela Rocuzzo
Supercopa ;final;8/23/12;Home;FC Barcelona;Real Madrid;03:02:00;CF;60';02:01:00;Penalty;Not Applicable;Antonela Rocuzzo
LaLiga ;2;8/26/12;Away;FC Barcelona;CA Osasuna;01:02:00;CF;74';01:01:00;Left-footed shot;Alexis Sánchez;Antonela Rocuzzo
LaLiga ;2;8/26/12;Away;FC Barcelona;CA Osasuna;01:02:00;CF;79';01:02:00;Left-footed shot;Jordi Alba;Antonela Rocuzzo
Supercopa ;final;8/29/12;Away;FC Barcelona;Real Madrid;02:01:00;CF;45';02:01:00;Direct free kick;Not Applicable;Antonela Rocuzzo
LaLiga ;4;9/15/12;Away;FC Barcelona;Getafe CF;01:04:00;CF;74';00:02:00;Penalty;Not Applicable;Antonela Rocuzzo
LaLiga ;4;9/15/12;Away;FC Barcelona;Getafe CF;01:04:00;CF;78';00:03:00;Left-footed shot;Pedro;Antonela Rocuzzo
Champions League ;Group Stage;9/19/12;Home;FC Barcelona;Spartak Moscow;03:02:00;CF;71';02:02:00;Left-footed shot;Cristian Tello;Antonela Rocuzzo
Champions League ;Group Stage;9/19/12;Home;FC Barcelona;Spartak Moscow;03:02:00;CF;80';03:02:00;Header;Alexis Sánchez;Antonela Rocuzzo
LaLiga ;7;10/7/12;Home;FC Barcelona;Real Madrid;02:02:00;CF;31';01:01:00;Left-footed shot;Not Applicable;Antonela Rocuzzo
LaLiga ;7;10/7/12;Home;FC Barcelona;Real Madrid;02:02:00;CF;60';02:01:00;Direct free kick;Not Applicable;Antonela Rocuzzo
LaLiga ;8;10/20/12;Away;FC Barcelona;Deportivo de La Coruña;04:05:00;CF;17';00:03:00;Left-footed shot;Cesc Fàbregas;Antonela Rocuzzo
LaLiga ;8;10/20/12;Away;FC Barcelona;Deportivo de La Coruña;04:05:00;CF;43';02:04:00;Left-footed shot;Cesc Fàbregas;Antonela Rocuzzo
LaLiga ;8;10/20/12;Away;FC Barcelona;Deportivo de La Coruña;04:05:00;CF;76';03:05:00;Left-footed shot;Xavi;Antonela Rocuzzo
LaLiga ;9;10/27/12;Away;FC Barcelona;Rayo Vallecano;00:05:00;CF;48';00:02:00;Left-footed shot;Martín Montoya;Antonela Rocuzzo
LaLiga ;9;10/27/12;Away;FC Barcelona;Rayo Vallecano;00:05:00;CF;89';00:05:00;Right-footed shot;Cesc Fàbregas;Antonela Rocuzzo
Champions League ;Group Stage;11/7/12;Away;FC Barcelona;Celtic FC;02:01:00;CF;90'+1;02:01:00;Tap-in;Not Applicable;
LaLiga ;11;11/11/12;Away;FC Barcelona;RCD Mallorca;02:04:00;CF;43';00:02:00;Left-footed shot;Sergio Busquets;Antonela Rocuzzo
LaLiga ;11;11/11/12;Away;FC Barcelona;RCD Mallorca;02:04:00;CF;70';02:04:00;Left-footed shot;Alexis Sánchez;Antonela Rocuzzo
LaLiga ;12;11/17/12;Home;FC Barcelona;Real Zaragoza;03:01:00;CF;15';01:00:00;Left-footed shot;Jordi Alba;Antonela Rocuzzo
LaLiga ;12;11/17/12;Home;FC Barcelona;Real Zaragoza;03:01:00;CF;60';03:01:00;Left-footed shot;Martín Montoya;Antonela Rocuzzo
Champions League ;Group Stage;11/20/12;Away;FC Barcelona;Spartak Moscow;00:03:00;CF;27';00:02:00;Right-footed shot;Not Applicable;Antonela Rocuzzo
Champions League ;Group Stage;11/20/12;Away;FC Barcelona;Spartak Moscow;00:03:00;CF;39';00:03:00;Left-footed shot;Pedro;Antonela Rocuzzo
LaLiga ;13;11/25/12;Away;FC Barcelona;Levante UD;00:04:00;CF;46';00:01:00;Left-footed shot;Andrés Iniesta;Antonela Rocuzzo
LaLiga ;13;11/25/12;Away;FC Barcelona;Levante UD;00:04:00;CF;51';00:02:00;Left-footed shot;Andrés Iniesta;
LaLiga ;14;12/1/12;Home;FC Barcelona;Athletic Bilbao;05:01:00;CF;24';02:00:00;Left-footed shot;Xavi;Antonela Rocuzzo
LaLiga ;14;12/1/12;Home;FC Barcelona;Athletic Bilbao;05:01:00;CF;69';05:01:00;Right-footed shot;Pedro;Antonela Rocuzzo
LaLiga ;15;12/9/12;Away;FC Barcelona;Real Betis Balompié;01:02:00;CF;16';00:01:00;Left-footed shot;Andrés Iniesta;Antonela Rocuzzo
LaLiga ;15;12/9/12;Away;FC Barcelona;Real Betis Balompié;01:02:00;CF;25';00:02:00;Left-footed shot;Andrés Iniesta;Antonela Rocuzzo
Copa del Rey ;last 16;12/12/12;Away;FC Barcelona;Córdoba CF;00:02:00;CF;10';00:01:00;Left-footed shot;David Villa;Antonela Rocuzzo
Copa del Rey ;last 16;12/12/12;Away;FC Barcelona;Córdoba CF;00:02:00;CF;73';00:02:00;Left-footed shot;Alexis Sánchez;Antonela Rocuzzo
LaLiga ;16;12/16/12;Home;FC Barcelona;Atlético de Madrid;04:01:00;CF;58';03:01:00;Left-footed shot;Alexis Sánchez;Antonela Rocuzzo
